"id_lieu","id_local","nom_lieu","ad_lieu","com_lieu","insee","type","date_maj","ouvert","source","Xlong","Ylat","nbre_pl","nbre_pmr","duree","horaires","proprio","lumiere","comm"
"60531-C-003","C-003","Acacias","Rue des Acacias","Remy","60531","Auto-stop","2020-11-20","true","810157982","2.7028518","49.4336525","","","","","","true",""
"60531-C-004","C-004","Gare","Gare de Rémy","Remy","60531","Auto-stop","2020-11-20","true","810157982","2.7058935","49.4335199","","","","","","true",""
"60531-C-005","C-005","Pars de loisirs","Rue de Noyon","Remy","60531","Auto-stop","2020-11-20","true","810157982","2.7038501","49.4371179","","","","","","true",""
"60531-C-006","C-006","Croix Saint-Denis","Rue de Compiègne","Remy","60531","Auto-stop","2021-04-02","true","810157982","2.7150189","49.4346481","","","","","","true",""
"37194-C-001","C-001","République - Reugny","5 Place De La République","Reugny","37194","Auto-stop","2021-06-03","true","810157982","0.8843417","47.4820979","","","","","","true",""
"37194-C-002","C-002","Voie Verte - Reugny","21 Rue Victor Hugo","Reugny","37194","Auto-stop","2021-02-03","true","810157982","0.8863760","47.4813590","","","","","","true",""
"37194-C-003","C-003","Melotin - Reugny","1144 Route de Monnaie","Reugny","37194","Auto-stop","2021-02-03","true","810157982","0.8613520","47.4850440","","","","","","true",""
"37194-C-004","C-004","Place du 8 mai - Reugny","2 Rue de la Poste","Reugny","37194","Auto-stop","2021-02-03","true","810157982","0.8836050","47.4820700","","","","","","true",""
"37194-C-005","C-005","Fontaine - Reugny","8 Place de la République","Reugny","37194","Auto-stop","2021-02-03","true","810157982","0.8846270","47.4822250","","","","","","true",""
"37194-C-006","C-006","La Besnarderie - Direction Sud - Reugny","D5 Reugny","Reugny","37194","Auto-stop","2021-02-03","true","810157982","0.9026740","47.4744103","","","","","","false",""
"37194-C-007","C-007","Ecoles - Reugny","10 Rue Georges Courteline","Reugny","37194","Auto-stop","2021-02-03","true","810157982","0.8826150","47.4823000","","","","","","true",""
"37194-C-008","C-008","La Besnarderie - Direction Nord - Reugny","La Besnarderie Reugny","Reugny","37194","Auto-stop","2021-02-03","true","810157982","0.9025754","47.4746619","","","","","","false",""
"37194-C-009","C-009","Nationale - Reugny","44 Rue Nationale","Reugny","37194","Auto-stop","2021-06-03","true","810157982","0.8822952","47.4784733","","","","","","true",""
